iter	Passed	Remaining
0	6	690
1	11	552
2	15	508
3	20	484
4	24	463
5	28	447
6	32	429
7	36	421
8	40	406
9	43	393
10	47	387
11	51	380
12	55	372
13	59	362
14	62	354
15	65	346
16	69	340
17	73	332
18	76	324
19	79	317
20	82	311
21	85	303
22	88	296
23	91	289
24	94	283
25	97	276
26	99	270
27	102	264
28	105	259
29	108	252
30	110	246
31	113	242
32	116	236
33	118	230
34	121	225
35	124	221
36	125	213
37	128	209
38	131	205
39	134	202
40	137	198
41	141	194
42	144	191
43	147	187
44	150	183
45	154	180
46	156	176
47	159	173
48	162	169
49	166	166
50	170	163
51	172	159
52	175	155
53	179	152
54	182	149
55	184	145
56	187	141
57	191	138
58	193	134
59	196	131
60	200	128
61	203	124
62	206	121
63	210	118
64	213	115
65	216	111
66	219	108
67	222	104
68	224	101
69	227	97
70	230	94
71	233	90
72	236	87
73	238	83
74	241	80
75	244	77
76	247	73
77	250	70
78	252	67
79	255	63
80	258	60
81	261	57
82	264	54
83	267	50
84	270	47
85	273	44
86	276	41
87	279	38
88	281	34
89	284	31
90	287	28
91	289	25
92	292	21
93	295	18
94	298	15
95	300	12
96	303	9
97	306	6
98	309	3
99	311	0
