iter	Passed	Remaining
0	7	1561
1	13	1304
2	18	1235
3	23	1161
4	30	1179
5	34	1129
6	40	1114
7	44	1070
8	49	1055
9	54	1037
10	60	1034
11	64	1007
12	68	985
13	73	973
14	78	967
15	82	950
16	87	936
17	91	926
18	96	920
19	101	909
20	105	901
21	110	890
22	114	881
23	119	875
24	123	862
25	126	849
26	131	841
27	135	830
28	139	819
29	143	813
30	147	804
31	151	797
32	155	788
33	160	782
34	163	772
35	167	763
36	171	757
37	175	749
38	179	741
39	184	737
40	188	732
41	193	726
42	197	721
43	198	703
44	201	695
45	205	686
46	209	680
47	212	673
48	217	670
49	222	666
50	226	660
51	229	654
52	233	647
53	237	641
54	241	637
55	246	633
56	250	627
57	254	623
58	258	618
59	262	612
60	266	607
61	271	603
62	274	597
63	279	594
64	283	589
65	287	583
66	291	579
67	295	574
68	299	568
69	303	564
70	308	560
71	312	554
72	316	549
73	319	544
74	323	539
75	327	534
76	331	530
77	335	525
78	339	520
79	344	516
80	348	511
81	352	507
82	356	502
83	360	498
84	365	493
85	369	489
86	372	483
87	376	478
88	380	474
89	383	468
90	387	464
91	391	459
92	395	455
93	399	450
94	403	445
95	407	441
96	411	437
97	415	432
98	419	428
99	424	424
100	428	420
101	433	416
102	437	411
103	441	407
104	445	403
105	450	399
106	455	395
107	458	390
108	463	386
109	467	382
110	471	378
111	475	373
112	479	369
113	483	364
114	487	360
115	491	355
116	495	351
117	499	347
118	503	342
119	507	338
120	512	334
121	516	330
122	520	325
123	524	321
124	527	316
125	531	312
126	535	307
127	539	303
128	543	299
129	547	294
130	552	290
131	555	286
132	559	281
133	563	277
134	567	273
135	571	268
136	575	264
137	579	260
138	583	256
139	587	251
140	590	247
141	595	243
142	600	239
143	604	234
144	608	230
145	612	226
146	617	222
147	620	218
148	624	213
149	628	209
150	632	205
151	636	200
152	639	196
153	643	192
154	648	188
155	652	184
156	656	179
157	660	175
158	664	171
159	668	167
160	672	162
161	677	158
162	681	154
163	684	150
164	688	146
165	692	141
166	696	137
167	700	133
168	704	129
169	708	125
170	712	120
171	716	116
172	720	112
173	724	108
174	728	104
175	732	99
176	736	95
177	740	91
178	744	87
179	748	83
180	753	79
181	757	74
182	761	70
183	765	66
184	769	62
185	773	58
186	776	54
187	781	49
188	786	45
189	790	41
190	794	37
191	798	33
192	802	29
193	807	24
194	811	20
195	815	16
196	819	12
197	823	8
198	827	4
199	832	0
